mode	flight_number	callsign	aircraft_model_code	aircraft_model_description	aircraft_registration	airline_name	airline_iata	airline_icao	flight_origin_code_iata	flight_origin_code_icao	flight_origin_name	flight_origin_time_offset	flight_destination_code_iata	flight_destination_code_icao	flight_destination_name	flight_destination_time_offset	flight_departure_scheduled	flight_departure_real	flight_arrival_scheduled	flight_arrival_real	flight_duaration
arrivals	CX237	CPA237	B77W	Boeing 777-367(ER)	B-KQR	Cathay Pacific	CX	CPA	HKG	VHHH	Hong Kong International Airport	28800	LHR	EGLL	London Heathrow Airport	3600	1558282500	1558285834.0	1558329300	1558330360.0	44520.0
arrivals	BA160	BAW160	B772	Boeing 777-236(ER)	G-YMMN	British Airways	BA	BAW	PVG	ZSPD	Shanghai Pudong International Airport	28800	LHR	EGLL	London Heathrow Airport	3600	1558284000	1558285090.0	1558329300	1558328805.0	43740.0
arrivals	BA455	BAW455	A20N	Airbus A320-251N	G-TTNJ	British Airways	BA	BAW	AGP	LEMG	Malaga Costa Del Sol Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558292700	1558293491.0	1558302600	1558302019.0	8520.0
arrivals	BA793	BAW793	A20N	Airbus A320-251N	G-TTNB	British Airways	BA	BAW	GOT	ESGG	Gothenburg Landvetter Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558294800	1558294608.0	1558302300	1558300850.0	6240.0
arrivals	BA611	BAW61XM	A320	Airbus A320-232	G-EUYM	British Airways	BA	BAW	PMO	LICJ	Palermo Falcone-Borsellino Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558290600	1558292084.0	1558302300	1558300840.0	8760.0
arrivals	BA445	BAW64VC	A20N	Airbus A320-251N	G-TTNC	British Airways	BA	BAW	VLC	LEVC	Valencia Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558293000	1558293556.0	1558302300	1558300987.0	7440.0
arrivals	BA1493	SHT7U	A321	Airbus A321-231	G-EUXM	British Airways	BA	BAW	GLA	EGPF	Glasgow International Airport	3600	LHR	EGLL	London Heathrow Airport	3600	1558297200	1558298515.0	1558301700	1558301929.0	3420.0
arrivals	LH922		A321	Airbus A321-131	D-AIRE	Lufthansa	LH	DLH	FRA	EDDF	Frankfurt Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558294200		1558300200		
arrivals	BA371	BAW371	A320	Airbus A320-232	G-EUYH	British Airways	BA	BAW	MRS	LFML	Marseille Provence Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558292400	1558293294.0	1558299300	1558298620.0	5340.0
arrivals	SU2584	AFL2584	A321	Airbus A321-211	VP-BOC	Aeroflot	SU	AFL	SVO	UUEE	Moscow Sheremetyevo International Airport	10800	LHR	EGLL	London Heathrow Airport	3600	1558282200	1558283000.0	1558297500	1558295734.0	12720.0
arrivals	BA483	BAW483	A320	Airbus A320-232	G-EUUN	British Airways	BA	BAW	BCN	LEBL	Barcelona El Prat Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558288500	1558289087.0	1558296900	1558295756.0	6660.0
arrivals	LH2482		319			Lufthansa	LH	DLH	MUC	EDDM	Munich Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558287900		1558295100		
arrivals	BA589	BAW14GM	A320	Airbus A320-232	G-EUUR	British Airways	BA	BAW	LIN	LIML	Milan Linate Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558288200	1558288745.0	1558295100	1558294891.0	6120.0
arrivals	PR720	PAL720	A359	Airbus A350-941	RP-C3506	Philippine Airlines	PR	PAL	MNL	RPLL	Manila Ninoy Aquino International Airport	28800	LHR	EGLL	London Heathrow Airport	3600	1558242600	1558244018.0	1558294500	1558292276.0	48240.0
arrivals	BA913	BAW913U	A21N	Airbus A321-251NX	G-NEOR	British Airways	BA	BAW	FRA	EDDF	Frankfurt Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558287900	1558295107.0	1558294200	1558298835.0	3720.0
arrivals	ZH9067	CSZ9067	A333	Airbus A330-343	B-302E	Shenzhen Airlines	ZH	CSZ	SZX	ZGSZ	Shenzhen Bao'an International Airport	28800	LHR	EGLL	London Heathrow Airport	3600	1558245600	1558248059.0	1558293000	1558294187.0	46140.0
arrivals	GS7987	GCR7987	A332	Airbus A330-243	B-8776	Tianjin Airlines	GS	GCR	XIY	ZLXY	Xi'an Xianyang International Airport	28800	LHR	EGLL	London Heathrow Airport	3600	1558252500	1558254120.0	1558292400	1558293485.0	39360.0
arrivals	BA967	BAW94HG	A319	Airbus A319-131	G-EUPR	British Airways	BA	BAW	HAM	EDDH	Hamburg Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558285500	1558285807.0	1558291800	1558290494.0	4680.0
arrivals	BA911	BAW911U	A319	Airbus A319-131	G-EUPF	British Airways	BA	BAW	FRA	EDDF	Frankfurt Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558284000	1558296263.0	1558290300	1558300388.0	4140.0
